Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,1917126411,2074862073,2189387094,2325271099,2512035610,2704935020,2933703028,3149153146,3131462662,3407866372,3749414955,4076289004,4718969796,5155104117,6701488054,7841458423,8046872066,9355692301,9525993221,10904420482,13391908897,14775983902,16399672560,16609819591,15832937075,15611995145,14206679971,15252921256,16153000713,16533068083,17661720109,17364653810,17058262358,17962545321,19054481831,20906271918,22781024125,25471508421,27956872381,29722106188,32206770523,33147903784,34932778636,37469010151,41154023579,46626940301,52391344060,58271036698,66468808733,55921150435,60761149603,65729447339,67849500795,68731747698,68671706571,66935278418,
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,457.251129,485.5211644,502.5953102,523.8865777,556.0941162,589.2678394,629.9877528,667.5447727,655.8813057,705.528361,767.2322607,824.3025429,942.9703688,1017.930643,1307.797534,1512.694125,1534.936442,1765.012495,1777.556573,2012.333832,2443.57477,2664.772307,2922.563453,2925.993336,2760.127217,2697.530433,2437.332947,2602.125599,2742.281523,2792.532886,2965.279407,2894.698522,2820.942582,2944.978887,3096.575787,3368.089741,3638.806998,4034.096058,4391.119833,4631.508887,4981.38722,5091.664009,5331.549877,5683.719309,6204.508899,6985.096978,7796.756766,8612.698368,9756.620108,8152.481869,8799.589747,9458.540054,9703.504041,9770.943477,9705.419717,9405.830849,
Caribbean small states,CSS,GNI (current US$),NY.GNP.MKTP.CD,1807223784,1944972967,2029454219,2170226465,2344045225,2575043733,2723559991,2927042826,2901061187,3158238672,3555678364,3845623349,4567919721,4985538022,6508025142,8095669898,7795798543,8966848718,9221152016,10294831399,12743748244,14285805540,16059873967,16069436208,15078676384,14816917809,13416168605,14358797659,15250984852,15550663780,16487809327,16195178371,16138843296,17248214843,18039808982,20416973936,22687652869,24516278302,26982506822,28515626427,30721674167,31449519417,33179678981,35529701842,39300847917,44331102799,49945087596,55789644487,63930902092,53571733850,58462143649,61156435419,63454898738,65344427411,64940067204,64955249765,
Caribbean small states,CSS,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.193912108,0.554448785,0.904680903,1.943876388,3.379123195,4.940877784,8.35771143,11.82229681,14.97618472,16.89119229,19.48895869,22.34485257,24.4938787,27.72404741,31.92694997,35.74316613,42.54218397,43.13709427,46.0331198,49.1875928,51.54186892,
Caribbean small states,CSS,Life expectancy at birth total (years),SP.DYN.LE00.IN,62.31914327,62.8164622,63.27309741,63.6856722,64.05561535,64.38497817,64.67838543,64.94597133,65.19847549,65.44423661,65.69081541,65.94447885,66.20612105,66.47409128,66.74792671,67.02549627,67.30380896,67.57772716,67.84263978,68.09663795,68.33564808,68.55495999,68.75148888,68.92446267,69.07047171,69.19050077,69.28862828,69.37854378,69.44318132,69.50981123,69.57135527,69.6273367,69.71489329,69.72037437,69.76305423,69.80842816,69.85947978,69.98812738,69.99282051,70.08269851,70.19416219,70.33153144,70.56497443,70.67828845,70.88037026,71.09648219,71.32223949,71.55148603,71.77871671,71.99799986,72.20439793,72.39418662,72.56760956,72.72588426,72.87006487,73.00217652,
Caribbean small states,CSS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.710829157,,,0.74547119,,,,,
Caribbean small states,CSS,Official exchange rate (LCU per US$ period average),PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,Population total,SP.POP.TOTL,4192721,4273474,4356163,4438501,4517285,4590332,4656762,4717516,4774435,4830233,4886936,4945137,5004367,5064298,5124255,5183770,5242479,5300638,5359038,5418793,5480458,5544933,5611400,5676643,5736307,5787514,5828781,5861716,5890351,5920456,5956174,5998778,6047008,6099380,6153404,6207160,6260575,6314056,6366684,6417370,6465422,6510230,6552087,6592340,6632922,6675203,6719633,6765712,6812688,6859402,6904998,6949217,6992268,7034300,7075604,7116360,
Caribbean small states,CSS,Urban population,SP.URB.TOTL,1324836,1359845,1396581,1434354,1471877,1507821,1542566,1576287,1609279,1641915,1674744,1707856,1745694,1788252,1830817,1873491,1916256,1959032,2002338,2046643,2091451,2125756,2161760,2190865,2218448,2243326,2264925,2283806,2301445,2319990,2342009,2372154,2404040,2437914,2472839,2508154,2543813,2579888,2615851,2650976,2683871,2708342,2728491,2747488,2766772,2786316,2806959,2828464,2850450,2872362,2893985,2916473,2939071,2961983,2985460,3009670,
Caribbean small states,CSS,Urban population (% of total),SP.URB.TOTL.IN.ZS,31.5984796,31.82062384,32.0598724,32.31615108,32.58324433,32.84774892,33.12527042,33.41350388,33.70616512,33.9924759,34.26983655,34.53604635,34.88343242,35.31098964,35.72844636,36.14148384,36.55247074,36.95845578,37.36374294,37.76930905,38.1619385,38.3369187,38.52445819,38.59438128,38.67382151,38.76148827,38.85762669,38.96137177,39.07147509,39.18600016,39.32070451,39.54394796,39.75585019,39.96988476,40.18653941,40.40742605,40.63228027,40.8594314,41.08653649,41.30938418,41.51118748,41.60132183,41.64307776,41.67696296,41.71271366,41.7413007,41.77252171,41.80584447,41.84029818,41.87480615,41.91145004,41.9683664,42.03317375,42.10771955,42.19370656,42.2922775,
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56114E+11,2.42632E+11,2.59823E+11,2.73915E+11,3.10703E+11,3.86115E+11,4.1263E+11,4.08895E+11,4.47448E+11,4.33915E+11,4.2755E+11,4.68162E+11,5.27146E+11,6.34284E+11,7.62452E+11,8.85748E+11,1.00194E+12,1.26096E+12,1.5232E+12,1.27985E+12,1.3128E+12,1.44647E+12,1.35075E+12,1.42135E+12,1.46201E+12,1.28172E+12,
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2312.627681,2199.934574,2361.907068,2488.294564,2824.066219,3512.905768,3766.13713,3735.598237,4097.242898,3977.487127,3943.98781,4342.857279,4922.109767,5941.171617,7161.448117,8342.43635,9461.098713,11951.68719,14489.15052,12197.87376,12557.38267,13885.16637,12996.08822,13704.51064,14126.20437,12412.98098,
Central Europe and the Baltics,CEB,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56544E+11,2.73E+11,3.11969E+11,3.83588E+11,4.1057E+11,4.0488E+11,4.43342E+11,4.28205E+11,4.23336E+11,4.64001E+11,5.20558E+11,6.19715E+11,7.35897E+11,8.61395E+11,9.68815E+11,1.20774E+12,1.47258E+12,1.24062E+12,1.26487E+12,1.39028E+12,1.30423E+12,1.37817E+12,1.41455E+12,1.23616E+12,
Central Europe and the Baltics,CEB,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.148650058,0.38928487,0.621930638,1.068195153,1.790093415,3.511563902,4.959357017,7.037650207,10.21536513,18.19417192,22.5126441,29.15044423,34.64729322,40.65876375,45.11428149,50.4833147,54.87022447,58.35016696,58.85739213,61.50954877,63.29097207,66.88377388,67.77528405,
